Price,Id,Brand,Model,Year,Engine,Liter
19999,19292627,Alfa Romeo,Giulia,2017,??????,2
28000,20157408,Alfa Romeo,Stelvio,2018,??????,2
2500,20316624,Alfa Romeo,156,1997,??????,2.5
3800,20298763,Alfa Romeo,147,2002,??????,2
2750,19704754,Alfa Romeo,164,1992,??????,2
7400,20251844,Alfa Romeo,159,2005,??????,2.2
2500,20069777,Alfa Romeo,146,1999,??????,1.6
169000,20329948,Audi,SQ8,2022,??????,4
10500,20252149,Audi,A4,2009,??????,3.2
44000,20296196,Audi,Q5,2018,??????,2
21900,19365782,Audi,Q3,2017,??????,2
61000,20309343,Audi,Q5 e-tron,2023,??????????,0
44900,19940038,Audi,Q7,2021,??????,3
21000,20337791,Audi,A6,2017,??????,1.8
60000,20000621,Audi,R8,2008,??????,4.2
25000,19660939,Audi,A7,2012,??????,3
3500,20085305,Audi,90,1994,??????,2.2
16500,19428968,Audi,A3,2014,??????,1.4
14500,19650892,Audi,A5,2009,??????,3.2
4200,19910294,Audi,A8,1996,??????,2.8
14000,19948664,Audi,TT,2008,??????,2
73700,19659306,Audi,Q8,2019,??????,3
135424,20281378,Audi,RS6,2023,??????,4
35729,20281371,Audi,Q3 Sportback,2023,??????,1.5
2600,19953419,Audi,100,1991,??????,1.8
2100,19037428,Audi,80,1990,??????,1.6
59000,19478409,Audi,E-tron,2021,??????????,0
72000,19874139,Audi,E-tron Sportback,2020,??????????,0
107405,20061535,Audi,SQ8 e-tron,2023,??????????,0
109468,20061529,Audi,Q8 Sportback e-tron,2023,??????????,0
89700,18645256,Audi,Q4 Sportback e-tron,2022,??????????,0
43700,19001909,Audi,Q2L e-tron,2022,??????????,0
130320,19652464,Audi,RS E-tron GT,2023,??????????,0
129234,19661402,Audi,Q8 e-tron,2023,??????????,0
55386,19634150,Audi,Q4 e-tron,2023,??????????,0
78000,19516167,Audi,E-tron S Sportback,2021,??????????,0
94482,20027754,Audi,E-tron S,2022,??????????,0
18500,18326354,BMW,5 Series,2015,??????,2.8
42000,20000237,BMW,X5,2017,??????,3
38800,20039916,BMW,3 Series,2020,??????,2
23500,19676981,BMW,X6,2011,??????,3
23500,19697909,BMW,X1,2018,??????,2
69900,20206788,BMW,iX,2022,??????????,0
35000,20195437,BMW,4 Series,2018,??????,2
10900,19986483,BMW,i3,2014,??????,0.6
135750,20161925,BMW,i5,2023,??????????,0
182448,19060484,BMW,X6 M,2020,??????,4.4
162900,18930199,BMW,i7,2022,??????????,0
102000,20201572,BMW,X7,2022,??????,3
8000,19965385,BMW,X3,2004,??????,2.5
12000,20294055,BMW,6 Series,2008,??????,4.8
36000,20103802,BMW,X4,2016,??????,2
29000,20309212,BMW,X5 M,2012,??????,4.4
52000,20310057,BMW,7 Series,2015,??????,5
83000,19119339,BMW,M5,2019,??????,4.4
69500,19878085,BMW,M8,2021,??????,4.4
13000,19615442,BMW,1 Series,2008,??????,3
33000,19767783,BMW,X2,2018,??????,2
